INFO:root:Start CPC fine-tuning head for 200 epochs.
INFO:root:Training with gpu: False.
DEBUG:root:Epoch: 0 Loss: 45.39738464355469 acc:  28.571/ 16.163 f1:  14.681/ 7.850
DEBUG:root:Epoch: 1 Loss: 44.59052276611328 acc:  28.571/ 16.341 f1:  14.708/ 7.871
DEBUG:root:Epoch: 2 Loss: 43.76244354248047 acc:  28.571/ 15.808 f1:  14.709/ 7.537
DEBUG:root:Epoch: 3 Loss: 43.06793212890625 acc:  28.571/ 14.920 f1:  14.764/ 6.970
DEBUG:root:Epoch: 4 Loss: 42.438941955566406 acc:  30.000/ 14.387 f1:  17.848/ 6.732
DEBUG:root:Epoch: 5 Loss: 41.83873748779297 acc:  31.429/ 14.387 f1:  20.394/ 7.023
DEBUG:root:Epoch: 6 Loss: 41.18651580810547 acc:  31.429/ 14.742 f1:  20.595/ 7.418
DEBUG:root:Epoch: 7 Loss: 40.581600189208984 acc:  31.429/ 15.275 f1:  20.648/ 7.938
DEBUG:root:Epoch: 8 Loss: 39.96814727783203 acc:  32.857/ 14.565 f1:  23.156/ 7.011
DEBUG:root:Epoch: 9 Loss: 39.28131103515625 acc:  34.286/ 14.387 f1:  25.147/ 7.045
DEBUG:root:Epoch: 10 Loss: 38.60687255859375 acc:  35.714/ 12.966 f1:  27.175/ 6.069
DEBUG:root:Epoch: 11 Loss: 38.017459869384766 acc:  35.714/ 13.321 f1:  27.742/ 6.636
DEBUG:root:Epoch: 12 Loss: 37.34269332885742 acc:  34.286/ 12.256 f1:  27.580/ 6.202
DEBUG:root:Epoch: 13 Loss: 36.690101623535156 acc:  34.286/ 12.433 f1:  29.148/ 6.762
DEBUG:root:Epoch: 14 Loss: 35.97895050048828 acc:  34.286/ 11.723 f1:  29.148/ 6.075
DEBUG:root:Epoch: 15 Loss: 35.33708190917969 acc:  37.143/ 11.545 f1:  33.138/ 6.535
DEBUG:root:Epoch: 16 Loss: 34.649662017822266 acc:  38.571/ 11.723 f1:  35.114/ 7.082
DEBUG:root:Epoch: 17 Loss: 33.922508239746094 acc:  42.857/ 11.901 f1:  39.268/ 7.418
DEBUG:root:Epoch: 18 Loss: 33.25785446166992 acc:  42.857/ 12.256 f1:  39.268/ 7.796
DEBUG:root:Epoch: 19 Loss: 32.60371398925781 acc:  44.286/ 12.256 f1:  40.340/ 7.849
DEBUG:root:Epoch: 20 Loss: 31.901708602905273 acc:  44.286/ 12.256 f1:  40.200/ 7.847
DEBUG:root:Epoch: 21 Loss: 31.232275009155273 acc:  45.714/ 11.901 f1:  41.673/ 7.811
DEBUG:root:Epoch: 22 Loss: 30.550128936767578 acc:  45.714/ 11.901 f1:  41.673/ 7.884
DEBUG:root:Epoch: 23 Loss: 30.03326988220215 acc:  45.714/ 11.545 f1:  41.673/ 7.487
DEBUG:root:Epoch: 24 Loss: 29.470272064208984 acc:  47.143/ 12.078 f1:  43.488/ 8.251
DEBUG:root:Epoch: 25 Loss: 28.893272399902344 acc:  50.000/ 11.545 f1:  47.561/ 7.742
DEBUG:root:Epoch: 26 Loss: 28.384910583496094 acc:  51.429/ 11.545 f1:  49.021/ 7.685
