INFO:root:Start CPC fine-tuning head for 200 epochs.
INFO:root:Training with gpu: False.
DEBUG:root:Epoch: 0 Loss: 43.20595169067383 acc:  24.286/ 15.818 f1:  10.842/ 10.170
DEBUG:root:Epoch: 1 Loss: 42.43682098388672 acc:  25.714/ 16.727 f1:  11.892/ 11.085
DEBUG:root:Epoch: 2 Loss: 41.56954574584961 acc:  24.286/ 16.000 f1:  11.386/ 11.134
DEBUG:root:Epoch: 3 Loss: 40.76287841796875 acc:  25.714/ 16.727 f1:  13.706/ 12.333
DEBUG:root:Epoch: 4 Loss: 40.08182907104492 acc:  27.143/ 16.727 f1:  14.587/ 12.677
DEBUG:root:Epoch: 5 Loss: 39.24622344970703 acc:  28.571/ 17.273 f1:  16.774/ 13.165
DEBUG:root:Epoch: 6 Loss: 38.49284362792969 acc:  25.714/ 17.636 f1:  15.731/ 13.669
DEBUG:root:Epoch: 7 Loss: 37.819950103759766 acc:  27.143/ 17.273 f1:  17.957/ 13.611
DEBUG:root:Epoch: 8 Loss: 37.07231140136719 acc:  28.571/ 17.091 f1:  19.883/ 13.576
DEBUG:root:Epoch: 9 Loss: 36.29647445678711 acc:  30.000/ 17.273 f1:  21.219/ 14.024
DEBUG:root:Epoch: 10 Loss: 35.56562423706055 acc:  28.571/ 16.000 f1:  21.204/ 12.700
DEBUG:root:Epoch: 11 Loss: 34.855926513671875 acc:  31.429/ 17.091 f1:  24.142/ 13.240
DEBUG:root:Epoch: 12 Loss: 34.170188903808594 acc:  32.857/ 16.909 f1:  25.395/ 12.914
DEBUG:root:Epoch: 13 Loss: 33.48723220825195 acc:  34.286/ 17.818 f1:  26.970/ 13.363
DEBUG:root:Epoch: 14 Loss: 32.905391693115234 acc:  37.143/ 17.273 f1:  29.377/ 12.464
DEBUG:root:Epoch: 15 Loss: 32.18195343017578 acc:  38.571/ 17.636 f1:  30.913/ 12.684
DEBUG:root:Epoch: 16 Loss: 31.533451080322266 acc:  37.143/ 18.000 f1:  30.089/ 12.956
DEBUG:root:Epoch: 17 Loss: 30.908039093017578 acc:  37.143/ 18.182 f1:  30.089/ 12.947
DEBUG:root:Epoch: 18 Loss: 30.25497817993164 acc:  37.143/ 18.182 f1:  30.089/ 12.996
DEBUG:root:Epoch: 19 Loss: 29.641605377197266 acc:  37.143/ 17.818 f1:  30.263/ 12.689
DEBUG:root:Epoch: 20 Loss: 29.117467880249023 acc:  37.143/ 17.818 f1:  30.263/ 12.394
DEBUG:root:Epoch: 21 Loss: 28.609390258789062 acc:  37.143/ 18.000 f1:  30.142/ 12.388
DEBUG:root:Epoch: 22 Loss: 28.109943389892578 acc:  38.571/ 18.182 f1:  31.395/ 12.702
DEBUG:root:Epoch: 23 Loss: 27.701587677001953 acc:  40.000/ 18.182 f1:  34.026/ 12.594
DEBUG:root:Epoch: 24 Loss: 27.297054290771484 acc:  41.429/ 18.182 f1:  36.188/ 12.722
DEBUG:root:Epoch: 25 Loss: 26.909175872802734 acc:  41.429/ 18.364 f1:  36.073/ 12.852
DEBUG:root:Epoch: 26 Loss: 26.572595596313477 acc:  41.429/ 18.182 f1:  36.073/ 12.539
DEBUG:root:Epoch: 27 Loss: 26.285762786865234 acc:  41.429/ 17.818 f1:  36.042/ 12.418
DEBUG:root:Epoch: 28 Loss: 25.964256286621094 acc:  41.429/ 18.000 f1:  36.042/ 12.640
DEBUG:root:Epoch: 29 Loss: 25.782411575317383 acc:  41.429/ 18.545 f1:  36.175/ 13.268
DEBUG:root:Epoch: 30 Loss: 25.58660125732422 acc:  42.857/ 18.545 f1:  38.081/ 13.330
DEBUG:root:Epoch: 31 Loss: 25.442251205444336 acc:  44.286/ 18.909 f1:  39.094/ 13.746
DEBUG:root:Epoch: 32 Loss: 25.241182327270508 acc:  45.714/ 18.909 f1:  40.531/ 14.038
DEBUG:root:Epoch: 33 Loss: 25.071544647216797 acc:  45.714/ 18.727 f1:  40.114/ 13.925
DEBUG:root:Epoch: 34 Loss: 24.953872680664062 acc:  47.143/ 18.364 f1:  42.454/ 13.663
DEBUG:root:Epoch: 35 Loss: 24.84394645690918 acc:  51.429/ 18.364 f1:  47.482/ 13.807
