INFO:root:Training with gpu: False.
DEBUG:root:Epoch: 61 Loss: 6.247679233551025 accuracy: tensor([58.1543], device='cuda:0')
DEBUG:root:Epoch: 62 Loss: 6.216264247894287 accuracy: tensor([57.4289], device='cuda:0')
DEBUG:root:Epoch: 63 Loss: 6.208570957183838 accuracy: tensor([60.0586], device='cuda:0')
DEBUG:root:Epoch: 64 Loss: 6.223514080047607 accuracy: tensor([62.5209], device='cuda:0')
DEBUG:root:Epoch: 65 Loss: 6.24562406539917 accuracy: tensor([57.7497], device='cuda:0')
DEBUG:root:Epoch: 66 Loss: 6.215570449829102 accuracy: tensor([58.4682], device='cuda:0')
DEBUG:root:Epoch: 67 Loss: 6.220196723937988 accuracy: tensor([59.7238], device='cuda:0')
DEBUG:root:Epoch: 68 Loss: 6.190108776092529 accuracy: tensor([60.2958], device='cuda:0')
DEBUG:root:Epoch: 69 Loss: 6.1868672370910645 accuracy: tensor([64.2648], device='cuda:0')
DEBUG:root:Epoch: 70 Loss: 6.23765754699707 accuracy: tensor([59.0751], device='cuda:0')
DEBUG:root:Epoch: 71 Loss: 6.246989727020264 accuracy: tensor([57.4219], device='cuda:0')
DEBUG:root:Epoch: 72 Loss: 6.234066963195801 accuracy: tensor([57.2893], device='cuda:0')
DEBUG:root:Epoch: 73 Loss: 6.2201642990112305 accuracy: tensor([60.3585], device='cuda:0')
DEBUG:root:Epoch: 74 Loss: 6.206090927124023 accuracy: tensor([62.0606], device='cuda:0')
DEBUG:root:Epoch: 75 Loss: 6.226297855377197 accuracy: tensor([59.4238], device='cuda:0')
DEBUG:root:Epoch: 76 Loss: 6.208710670471191 accuracy: tensor([59.1169], device='cuda:0')
DEBUG:root:Epoch: 77 Loss: 6.208299160003662 accuracy: tensor([61.1328], device='cuda:0')
DEBUG:root:Epoch: 78 Loss: 6.235408306121826 accuracy: tensor([60.2539], device='cuda:0')
DEBUG:root:Epoch: 79 Loss: 6.245671272277832 accuracy: tensor([56.7871], device='cuda:0')
DEBUG:root:Epoch: 80 Loss: 6.224440574645996 accuracy: tensor([59.0332], device='cuda:0')
DEBUG:root:Epoch: 81 Loss: 6.204668998718262 accuracy: tensor([59.7796], device='cuda:0')
DEBUG:root:Epoch: 82 Loss: 6.23329496383667 accuracy: tensor([55.1130], device='cuda:0')
DEBUG:root:Epoch: 83 Loss: 6.23402214050293 accuracy: tensor([56.7732], device='cuda:0')
DEBUG:root:Epoch: 84 Loss: 6.234025478363037 accuracy: tensor([58.9495], device='cuda:0')
DEBUG:root:Epoch: 85 Loss: 6.204829692840576 accuracy: tensor([61.3351], device='cuda:0')
DEBUG:root:Epoch: 86 Loss: 6.195656776428223 accuracy: tensor([60.6166], device='cuda:0')
DEBUG:root:Epoch: 87 Loss: 6.229248523712158 accuracy: tensor([56.5220], device='cuda:0')
DEBUG:root:Epoch: 88 Loss: 6.221928119659424 accuracy: tensor([61.4746], device='cuda:0')
DEBUG:root:Epoch: 89 Loss: 6.220022201538086 accuracy: tensor([58.6496], device='cuda:0')
DEBUG:root:Epoch: 90 Loss: 6.234484672546387 accuracy: tensor([58.3496], device='cuda:0')
DEBUG:root:Epoch: 91 Loss: 6.232939720153809 accuracy: tensor([56.9266], device='cuda:0')
DEBUG:root:Epoch: 92 Loss: 6.228296756744385 accuracy: tensor([60.5190], device='cuda:0')
DEBUG:root:Epoch: 93 Loss: 6.2286906242370605 accuracy: tensor([58.0636], device='cuda:0')
DEBUG:root:Epoch: 94 Loss: 6.206754684448242 accuracy: tensor([56.3198], device='cuda:0')
DEBUG:root:Epoch: 95 Loss: 6.187945365905762 accuracy: tensor([62.4512], device='cuda:0')
DEBUG:root:Epoch: 96 Loss: 6.221105575561523 accuracy: tensor([60.4074], device='cuda:0')
DEBUG:root:Epoch: 97 Loss: 6.200597286224365 accuracy: tensor([58.6914], device='cuda:0')
DEBUG:root:Epoch: 98 Loss: 6.22147274017334 accuracy: tensor([56.3686], device='cuda:0')
DEBUG:root:Epoch: 99 Loss: 6.223496437072754 accuracy: tensor([55.6222], device='cuda:0')
DEBUG:root:Epoch: 100 Loss: 6.215287685394287 accuracy: tensor([54.9944], device='cuda:0')
DEBUG:root:Epoch: 101 Loss: 6.218335151672363 accuracy: tensor([61.3212], device='cuda:0')
DEBUG:root:Epoch: 102 Loss: 6.192342281341553 accuracy: tensor([54.7294], device='cuda:0')
DEBUG:root:Epoch: 103 Loss: 6.223570346832275 accuracy: tensor([58.8797], device='cuda:0')
DEBUG:root:Epoch: 104 Loss: 6.237004280090332 accuracy: tensor([55.0712], device='cuda:0')
DEBUG:root:Epoch: 105 Loss: 6.223891735076904 accuracy: tensor([58.5798], device='cuda:0')
DEBUG:root:Epoch: 106 Loss: 6.186047554016113 accuracy: tensor([60.4283], device='cuda:0')
DEBUG:root:Epoch: 107 Loss: 6.201266288757324 accuracy: tensor([61.3072], device='cuda:0')
DEBUG:root:Epoch: 108 Loss: 6.215919017791748 accuracy: tensor([60.5329], device='cuda:0')
DEBUG:root:Epoch: 109 Loss: 6.191804885864258 accuracy: tensor([58.2101], device='cuda:0')
DEBUG:root:Epoch: 110 Loss: 6.191694736480713 accuracy: tensor([57.8404], device='cuda:0')
DEBUG:root:Epoch: 111 Loss: 6.207638263702393 accuracy: tensor([59.7517], device='cuda:0')
DEBUG:root:Epoch: 112 Loss: 6.227335453033447 accuracy: tensor([56.5499], device='cuda:0')
DEBUG:root:Epoch: 113 Loss: 6.21427583694458 accuracy: tensor([62.8418], device='cuda:0')
DEBUG:root:Epoch: 114 Loss: 6.221968173980713 accuracy: tensor([60.6306], device='cuda:0')
DEBUG:root:Epoch: 115 Loss: 6.20753288269043 accuracy: tensor([57.8404], device='cuda:0')
DEBUG:root:Epoch: 116 Loss: 6.215229511260986 accuracy: tensor([56.0826], device='cuda:0')
DEBUG:root:Epoch: 117 Loss: 6.211134433746338 accuracy: tensor([59.4727], device='cuda:0')
DEBUG:root:Epoch: 118 Loss: 6.20676851272583 accuracy: tensor([59.2843], device='cuda:0')
DEBUG:root:Epoch: 119 Loss: 6.2168684005737305 accuracy: tensor([62.6465], device='cuda:0')
DEBUG:root:Epoch: 120 Loss: 6.1901469230651855 accuracy: tensor([60.6515], device='cuda:0')
DEBUG:root:Epoch: 121 Loss: 6.20686674118042 accuracy: tensor([56.9266], device='cuda:0')
DEBUG:root:Epoch: 122 Loss: 6.231936931610107 accuracy: tensor([58.7472], device='cuda:0')
DEBUG:root:Epoch: 123 Loss: 6.216807842254639 accuracy: tensor([59.9819], device='cuda:0')
DEBUG:root:Epoch: 124 Loss: 6.216254234313965 accuracy: tensor([60.4841], device='cuda:0')
DEBUG:root:Epoch: 125 Loss: 6.203352928161621 accuracy: tensor([55.9291], device='cuda:0')
DEBUG:root:Epoch: 126 Loss: 6.2076802253723145 accuracy: tensor([58.6496], device='cuda:0')
DEBUG:root:Epoch: 127 Loss: 6.184511661529541 accuracy: tensor([59.9819], device='cuda:0')
DEBUG:root:Epoch: 128 Loss: 6.1870903968811035 accuracy: tensor([58.9844], device='cuda:0')
DEBUG:root:Epoch: 129 Loss: 6.218216896057129 accuracy: tensor([58.2031], device='cuda:0')
DEBUG:root:Epoch: 130 Loss: 6.241419315338135 accuracy: tensor([60.5050], device='cuda:0')
DEBUG:root:Epoch: 131 Loss: 6.197482109069824 accuracy: tensor([57.4847], device='cuda:0')
DEBUG:root:Epoch: 132 Loss: 6.216721534729004 accuracy: tensor([56.9615], device='cuda:0')
DEBUG:root:Epoch: 133 Loss: 6.214768409729004 accuracy: tensor([59.5773], device='cuda:0')
DEBUG:root:Epoch: 134 Loss: 6.204113483428955 accuracy: tensor([60.6655], device='cuda:0')
DEBUG:root:Epoch: 135 Loss: 6.177599906921387 accuracy: tensor([59.2425], device='cuda:0')
DEBUG:root:Epoch: 136 Loss: 6.182361125946045 accuracy: tensor([61.4118], device='cuda:0')
DEBUG:root:Epoch: 137 Loss: 6.200943946838379 accuracy: tensor([60.5539], device='cuda:0')
DEBUG:root:Epoch: 138 Loss: 6.216412544250488 accuracy: tensor([61.0770], device='cuda:0')
DEBUG:root:Epoch: 139 Loss: 6.177939414978027 accuracy: tensor([55.2176], device='cuda:0')
DEBUG:root:Epoch: 140 Loss: 6.19654655456543 accuracy: tensor([61.2165], device='cuda:0')
DEBUG:root:Epoch: 141 Loss: 6.211790084838867 accuracy: tensor([56.5011], device='cuda:0')
DEBUG:root:Epoch: 142 Loss: 6.207860946655273 accuracy: tensor([61.8931], device='cuda:0')
DEBUG:root:Epoch: 143 Loss: 6.215754508972168 accuracy: tensor([60.1563], device='cuda:0')
DEBUG:root:Epoch: 144 Loss: 6.186178207397461 accuracy: tensor([57.6102], device='cuda:0')
DEBUG:root:Epoch: 145 Loss: 6.213137626647949 accuracy: tensor([60.0516], device='cuda:0')
DEBUG:root:Epoch: 146 Loss: 6.196630954742432 accuracy: tensor([61.2514], device='cuda:0')
DEBUG:root:Epoch: 147 Loss: 6.2002339363098145 accuracy: tensor([57.7358], device='cuda:0')
DEBUG:root:Epoch: 148 Loss: 6.184006214141846 accuracy: tensor([63.6440], device='cuda:0')
DEBUG:root:Epoch: 149 Loss: 6.184328556060791 accuracy: tensor([63.4347], device='cuda:0')
DEBUG:root:Epoch: 150 Loss: 6.200284481048584 accuracy: tensor([55.0851], device='cuda:0')
DEBUG:root:Epoch: 151 Loss: 6.188761234283447 accuracy: tensor([59.1169], device='cuda:0')
DEBUG:root:Epoch: 152 Loss: 6.204761028289795 accuracy: tensor([59.1936], device='cuda:0')
DEBUG:root:Epoch: 153 Loss: 6.220517158508301 accuracy: tensor([57.1359], device='cuda:0')
DEBUG:root:Epoch: 154 Loss: 6.214112758636475 accuracy: tensor([58.8309], device='cuda:0')
DEBUG:root:Epoch: 155 Loss: 6.239068984985352 accuracy: tensor([58.0357], device='cuda:0')
DEBUG:root:Epoch: 156 Loss: 6.228557109832764 accuracy: tensor([59.5145], device='cuda:0')
DEBUG:root:Epoch: 157 Loss: 6.192110538482666 accuracy: tensor([62.9604], device='cuda:0')
DEBUG:root:Epoch: 158 Loss: 6.194021701812744 accuracy: tensor([61.3700], device='cuda:0')
DEBUG:root:Epoch: 159 Loss: 6.215861797332764 accuracy: tensor([61.6420], device='cuda:0')
DEBUG:root:Epoch: 160 Loss: 6.22507381439209 accuracy: tensor([59.1588], device='cuda:0')
DEBUG:root:Epoch: 161 Loss: 6.186957359313965 accuracy: tensor([63.3998], device='cuda:0')
DEBUG:root:Epoch: 162 Loss: 6.199277400970459 accuracy: tensor([65.5553], device='cuda:0')
DEBUG:root:Epoch: 163 Loss: 6.190522193908691 accuracy: tensor([58.4961], device='cuda:0')
DEBUG:root:Epoch: 164 Loss: 6.178515911102295 accuracy: tensor([57.9381], device='cuda:0')
DEBUG:root:Epoch: 165 Loss: 6.192887783050537 accuracy: tensor([58.2031], device='cuda:0')
DEBUG:root:Epoch: 166 Loss: 6.1961469650268555 accuracy: tensor([60.7840], device='cuda:0')
DEBUG:root:Epoch: 167 Loss: 6.203929424285889 accuracy: tensor([60.3306], device='cuda:0')
DEBUG:root:Epoch: 168 Loss: 6.213425159454346 accuracy: tensor([57.2893], device='cuda:0')
DEBUG:root:Epoch: 169 Loss: 6.223484992980957 accuracy: tensor([61.1816], device='cuda:0')
DEBUG:root:Epoch: 170 Loss: 6.228281021118164 accuracy: tensor([61.4607], device='cuda:0')
DEBUG:root:Epoch: 171 Loss: 6.228442192077637 accuracy: tensor([62.7023], device='cuda:0')
DEBUG:root:Epoch: 172 Loss: 6.240448474884033 accuracy: tensor([61.3979], device='cuda:0')
DEBUG:root:Epoch: 173 Loss: 6.2327446937561035 accuracy: tensor([61.5374], device='cuda:0')
DEBUG:root:Epoch: 174 Loss: 6.232931613922119 accuracy: tensor([64.5926], device='cuda:0')
DEBUG:root:Epoch: 175 Loss: 6.192524433135986 accuracy: tensor([63.9509], device='cuda:0')
DEBUG:root:Epoch: 176 Loss: 6.2094831466674805 accuracy: tensor([62.3326], device='cuda:0')
DEBUG:root:Epoch: 177 Loss: 6.222811222076416 accuracy: tensor([60.3306], device='cuda:0')
DEBUG:root:Epoch: 178 Loss: 6.221128940582275 accuracy: tensor([60.7282], device='cuda:0')
DEBUG:root:Epoch: 179 Loss: 6.203301906585693 accuracy: tensor([63.6649], device='cuda:0')
DEBUG:root:Epoch: 180 Loss: 6.219451427459717 accuracy: tensor([61.6839], device='cuda:0')
DEBUG:root:Epoch: 181 Loss: 6.216908931732178 accuracy: tensor([65.7296], device='cuda:0')
DEBUG:root:Epoch: 182 Loss: 6.198170185089111 accuracy: tensor([61.3630], device='cuda:0')
DEBUG:root:Epoch: 183 Loss: 6.199796676635742 accuracy: tensor([64.3136], device='cuda:0')
DEBUG:root:Epoch: 184 Loss: 6.202861309051514 accuracy: tensor([64.0067], device='cuda:0')
DEBUG:root:Epoch: 185 Loss: 6.184905529022217 accuracy: tensor([66.6783], device='cuda:0')
DEBUG:root:Epoch: 186 Loss: 6.174585819244385 accuracy: tensor([63.3789], device='cuda:0')
DEBUG:root:Epoch: 187 Loss: 6.226523399353027 accuracy: tensor([59.2564], device='cuda:0')
DEBUG:root:Epoch: 188 Loss: 6.208781719207764 accuracy: tensor([59.3750], device='cuda:0')
DEBUG:root:Epoch: 189 Loss: 6.175990581512451 accuracy: tensor([62.6953], device='cuda:0')
DEBUG:root:Epoch: 190 Loss: 6.197994709014893 accuracy: tensor([62.6953], device='cuda:0')
DEBUG:root:Epoch: 191 Loss: 6.191740036010742 accuracy: tensor([61.5444], device='cuda:0')
DEBUG:root:Epoch: 192 Loss: 6.183651924133301 accuracy: tensor([63.7277], device='cuda:0')
DEBUG:root:Epoch: 193 Loss: 6.18739128112793 accuracy: tensor([64.9763], device='cuda:0')
DEBUG:root:Epoch: 194 Loss: 6.193728923797607 accuracy: tensor([64.5299], device='cuda:0')
DEBUG:root:Epoch: 195 Loss: 6.191466808319092 accuracy: tensor([65.7017], device='cuda:0')
DEBUG:root:Epoch: 196 Loss: 6.191504955291748 accuracy: tensor([63.7905], device='cuda:0')
DEBUG:root:Epoch: 197 Loss: 6.186681747436523 accuracy: tensor([63.2394], device='cuda:0')
DEBUG:root:Epoch: 198 Loss: 6.171960353851318 accuracy: tensor([65.2832], device='cuda:0')
DEBUG:root:Epoch: 199 Loss: 6.213716983795166 accuracy: tensor([59.4448], device='cuda:0')
INFO:root:Training has finished.
INFO:root:Model of Epoch 185 checkpoint and metadata has been saved at ./runs/lr/.
