INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
DEBUG:root:Epoch: 0 	 Loss: 1.6109533309936523 	 train acc: 0.16666666666666666 	 eval acc: 0.15794836956521738test acc: 0.15179392824287027 	 train f1: 0.047619047619047616 	 eval f1: 0.04549457000293513 	 test f1: 0.043941411451398134
DEBUG:root:Epoch: 1 	 Loss: 1.8248423337936401 	 train acc: 0.19696969696969696 	 eval acc: 0.17391304347826086test acc: 0.18153940509046304 	 train f1: 0.0972644376899696 	 eval f1: 0.06847732437449043 	 test f1: 0.09108450661474887
DEBUG:root:Epoch: 2 	 Loss: 1.7819018363952637 	 train acc: 0.20454545454545456 	 eval acc: 0.13722826086956522test acc: 0.15271389144434222 	 train f1: 0.11708901884340482 	 eval f1: 0.06419317390257075 	 test f1: 0.06852632612931753
DEBUG:root:Epoch: 3 	 Loss: 1.7310999631881714 	 train acc: 0.22727272727272727 	 eval acc: 0.15183423913043478test acc: 0.1603802514566084 	 train f1: 0.12074807480748073 	 eval f1: 0.08563420838104618 	 test f1: 0.09369378517428884
DEBUG:root:Epoch: 4 	 Loss: 1.732107400894165 	 train acc: 0.25 	 eval acc: 0.16134510869565216test acc: 0.18276602269242564 	 train f1: 0.13131313131313133 	 eval f1: 0.09165811414788076 	 test f1: 0.10300362004426929
DEBUG:root:Epoch: 5 	 Loss: 1.7263884544372559 	 train acc: 0.1893939393939394 	 eval acc: 0.15183423913043478test acc: 0.18797914750076664 	 train f1: 0.10968167573808346 	 eval f1: 0.09992874579719835 	 test f1: 0.12064213769243608
DEBUG:root:Epoch: 6 	 Loss: 1.7971018552780151 	 train acc: 0.19696969696969696 	 eval acc: 0.1514945652173913test acc: 0.18736583869978535 	 train f1: 0.11677387431964374 	 eval f1: 0.09656575018020802 	 test f1: 0.11957330342120025
DEBUG:root:Epoch: 7 	 Loss: 1.8493883609771729 	 train acc: 0.24242424242424243 	 eval acc: 0.15625test acc: 0.18552591229684146 	 train f1: 0.1301591523695527 	 eval f1: 0.09090457013888291 	 test f1: 0.1084929797119234
DEBUG:root:Epoch: 8 	 Loss: 1.8520448207855225 	 train acc: 0.23484848484848486 	 eval acc: 0.16847826086956522test acc: 0.16773995706838393 	 train f1: 0.13291380625476737 	 eval f1: 0.09692926786367935 	 test f1: 0.09747799286711867
DEBUG:root:Epoch: 9 	 Loss: 1.4775477647781372 	 train acc: 0.23484848484848486 	 eval acc: 0.16202445652173914test acc: 0.17847286108555657 	 train f1: 0.1690584505100634 	 eval f1: 0.1107460751699632 	 test f1: 0.1227338033328953
DEBUG:root:Epoch: 10 	 Loss: 1.7203795909881592 	 train acc: 0.25 	 eval acc: 0.1640625test acc: 0.16191352345906163 	 train f1: 0.19759527280666542 	 eval f1: 0.1282379658723839 	 test f1: 0.11012969982866681
