INFO:root:Start SimCLR fine-tuning head for 200 epochs.
INFO:root:Training with gpu: False.
INFO:root:Start SimCLR fine-tuning head for 200 epochs.
INFO:root:Training with gpu: False.
INFO:root:Start SimCLR fine-tuning head for 200 epochs.
INFO:root:Training with gpu: False.
INFO:root:Start SimCLR fine-tuning head for 200 epochs.
INFO:root:Training with gpu: False.
INFO:root:Start SimCLR fine-tuning head for 200 epochs.
INFO:root:Training with gpu: False.
DEBUG:root:Epoch: 0 	 Loss: 1.7886823415756226 	 train acc: tensor([16.6667], device='cuda:0') 	 val acc: tensor([21.3648], device='cuda:0')
INFO:root:Start SimCLR fine-tuning head for 200 epochs.
INFO:root:Training with gpu: False.
DEBUG:root:Epoch: 35 	 Loss: 1.7524546384811401 	 train acc: tensor([29.3651], device='cuda:0') 	 val acc: tensor([23.6156], device='cuda:0')
DEBUG:root:Epoch: 36 	 Loss: 1.7517436742782593 	 train acc: tensor([26.1905], device='cuda:0') 	 val acc: tensor([23.6513], device='cuda:0')
DEBUG:root:Epoch: 37 	 Loss: 1.7499395608901978 	 train acc: tensor([25.3968], device='cuda:0') 	 val acc: tensor([23.6870], device='cuda:0')
DEBUG:root:Epoch: 38 	 Loss: 1.7492244243621826 	 train acc: tensor([25.3968], device='cuda:0') 	 val acc: tensor([23.6156], device='cuda:0')
DEBUG:root:Epoch: 39 	 Loss: 1.7469110488891602 	 train acc: tensor([25.3968], device='cuda:0') 	 val acc: tensor([23.5084], device='cuda:0')
DEBUG:root:Epoch: 40 	 Loss: 1.7463738918304443 	 train acc: tensor([26.9841], device='cuda:0') 	 val acc: tensor([23.4727], device='cuda:0')
DEBUG:root:Epoch: 41 	 Loss: 1.7461928129196167 	 train acc: tensor([25.3968], device='cuda:0') 	 val acc: tensor([23.4369], device='cuda:0')
DEBUG:root:Epoch: 42 	 Loss: 1.7442845106124878 	 train acc: tensor([26.1905], device='cuda:0') 	 val acc: tensor([23.4727], device='cuda:0')
DEBUG:root:Epoch: 43 	 Loss: 1.7424527406692505 	 train acc: tensor([25.3968], device='cuda:0') 	 val acc: tensor([23.5798], device='cuda:0')
DEBUG:root:Epoch: 44 	 Loss: 1.7414997816085815 	 train acc: tensor([25.3968], device='cuda:0') 	 val acc: tensor([23.6513], device='cuda:0')
