INFO:root:Start SimCLR training for 200 epochs.
INFO:root:Training with gpu: False.
DEBUG:root:Epoch: 60 Loss: 6.230775833129883 accuracy: tensor([67.7083], device='cuda:3')
DEBUG:root:Epoch: 61 Loss: 6.186650276184082 accuracy: tensor([73.6979], device='cuda:3')
DEBUG:root:Epoch: 62 Loss: 6.2291765213012695 accuracy: tensor([69.4417], device='cuda:3')
DEBUG:root:Epoch: 63 Loss: 6.1996307373046875 accuracy: tensor([70.6055], device='cuda:3')
DEBUG:root:Epoch: 64 Loss: 6.196589469909668 accuracy: tensor([65.9994], device='cuda:3')
DEBUG:root:Epoch: 65 Loss: 6.196043968200684 accuracy: tensor([73.5677], device='cuda:3')
DEBUG:root:Epoch: 66 Loss: 6.193202495574951 accuracy: tensor([75.8301], device='cuda:3')
DEBUG:root:Epoch: 67 Loss: 6.196473598480225 accuracy: tensor([71.0693], device='cuda:3')
DEBUG:root:Epoch: 68 Loss: 6.148147106170654 accuracy: tensor([72.5586], device='cuda:3')
DEBUG:root:Epoch: 69 Loss: 6.1442484855651855 accuracy: tensor([76.2695], device='cuda:3')
DEBUG:root:Epoch: 70 Loss: 6.1709303855896 accuracy: tensor([72.2575], device='cuda:3')
DEBUG:root:Epoch: 71 Loss: 6.197640895843506 accuracy: tensor([72.2087], device='cuda:3')
DEBUG:root:Epoch: 72 Loss: 6.185708522796631 accuracy: tensor([75.5697], device='cuda:3')
DEBUG:root:Epoch: 73 Loss: 6.167216777801514 accuracy: tensor([74.4385], device='cuda:3')
DEBUG:root:Epoch: 74 Loss: 6.1505279541015625 accuracy: tensor([75.7080], device='cuda:3')
DEBUG:root:Epoch: 75 Loss: 6.11451530456543 accuracy: tensor([71.4111], device='cuda:3')
DEBUG:root:Epoch: 76 Loss: 6.16651725769043 accuracy: tensor([74.2106], device='cuda:3')
DEBUG:root:Epoch: 77 Loss: 6.151313781738281 accuracy: tensor([74.5524], device='cuda:3')
DEBUG:root:Epoch: 78 Loss: 6.175987243652344 accuracy: tensor([73.7793], device='cuda:3')
DEBUG:root:Epoch: 79 Loss: 6.157073497772217 accuracy: tensor([78.9225], device='cuda:3')
DEBUG:root:Epoch: 80 Loss: 6.180107116699219 accuracy: tensor([74.2025], device='cuda:3')
DEBUG:root:Epoch: 81 Loss: 6.163222789764404 accuracy: tensor([77.1159], device='cuda:3')
DEBUG:root:Epoch: 82 Loss: 6.155587196350098 accuracy: tensor([79.8584], device='cuda:3')
DEBUG:root:Epoch: 83 Loss: 6.182787895202637 accuracy: tensor([74.8128], device='cuda:3')
DEBUG:root:Epoch: 84 Loss: 6.1234049797058105 accuracy: tensor([81.8604], device='cuda:3')
DEBUG:root:Epoch: 85 Loss: 6.135077476501465 accuracy: tensor([81.2581], device='cuda:3')
DEBUG:root:Epoch: 86 Loss: 6.121938705444336 accuracy: tensor([75.3337], device='cuda:3')
DEBUG:root:Epoch: 87 Loss: 6.14235258102417 accuracy: tensor([78.6214], device='cuda:3')
DEBUG:root:Epoch: 88 Loss: 6.149889945983887 accuracy: tensor([78.2878], device='cuda:3')
DEBUG:root:Epoch: 89 Loss: 6.142348766326904 accuracy: tensor([77.6693], device='cuda:3')
DEBUG:root:Epoch: 90 Loss: 6.11781120300293 accuracy: tensor([81.8197], device='cuda:3')
DEBUG:root:Epoch: 91 Loss: 6.161195278167725 accuracy: tensor([79.8747], device='cuda:3')
DEBUG:root:Epoch: 92 Loss: 6.138458251953125 accuracy: tensor([81.4697], device='cuda:3')
DEBUG:root:Epoch: 93 Loss: 6.132940292358398 accuracy: tensor([80.7210], device='cuda:3')
DEBUG:root:Epoch: 94 Loss: 6.129867076873779 accuracy: tensor([77.7018], device='cuda:3')
DEBUG:root:Epoch: 95 Loss: 6.109650611877441 accuracy: tensor([77.8564], device='cuda:3')
