INFO:root:Start SimCLR fine-tuning head for 200 epochs.
INFO:root:Training with gpu: False.
DEBUG:root:Epoch: 39 	 Loss: 1.3325079679489136 	 train acc: tensor([44.4445], device='cuda:3') 	 val acc: tensor([42.4609], device='cuda:3')
DEBUG:root:Epoch: 40 	 Loss: 1.3287643194198608 	 train acc: tensor([50.0000], device='cuda:3') 	 val acc: tensor([41.9986], device='cuda:3')
DEBUG:root:Epoch: 41 	 Loss: 1.2656121253967285 	 train acc: tensor([50.7937], device='cuda:3') 	 val acc: tensor([36.4509], device='cuda:3')
DEBUG:root:Epoch: 42 	 Loss: 1.2317055463790894 	 train acc: tensor([50.0000], device='cuda:3') 	 val acc: tensor([31.3656], device='cuda:3')
DEBUG:root:Epoch: 43 	 Loss: 1.2964093685150146 	 train acc: tensor([45.2381], device='cuda:3') 	 val acc: tensor([33.0014], device='cuda:3')
DEBUG:root:Epoch: 44 	 Loss: 1.2954857349395752 	 train acc: tensor([45.2381], device='cuda:3') 	 val acc: tensor([32.8236], device='cuda:3')
DEBUG:root:Epoch: 45 	 Loss: 1.303920030593872 	 train acc: tensor([42.0635], device='cuda:3') 	 val acc: tensor([28.7340], device='cuda:3')
DEBUG:root:Epoch: 46 	 Loss: 1.2416445016860962 	 train acc: tensor([45.2381], device='cuda:3') 	 val acc: tensor([28.5562], device='cuda:3')
DEBUG:root:Epoch: 47 	 Loss: 1.2728022336959839 	 train acc: tensor([42.8571], device='cuda:3') 	 val acc: tensor([40.1494], device='cuda:3')
DEBUG:root:Epoch: 48 	 Loss: 1.2604491710662842 	 train acc: tensor([47.6190], device='cuda:3') 	 val acc: tensor([43.7055], device='cuda:3')
DEBUG:root:Epoch: 49 	 Loss: 1.2529778480529785 	 train acc: tensor([50.0000], device='cuda:3') 	 val acc: tensor([34.4950], device='cuda:3')
DEBUG:root:Epoch: 50 	 Loss: 1.2338204383850098 	 train acc: tensor([47.6190], device='cuda:3') 	 val acc: tensor([35.9175], device='cuda:3')
DEBUG:root:Epoch: 51 	 Loss: 1.2787731885910034 	 train acc: tensor([49.2064], device='cuda:3') 	 val acc: tensor([40.1138], device='cuda:3')
DEBUG:root:Epoch: 52 	 Loss: 1.2682322263717651 	 train acc: tensor([53.1746], device='cuda:3') 	 val acc: tensor([36.4154], device='cuda:3')
DEBUG:root:Epoch: 53 	 Loss: 1.2149441242218018 	 train acc: tensor([54.7619], device='cuda:3') 	 val acc: tensor([34.8506], device='cuda:3')
DEBUG:root:Epoch: 54 	 Loss: 1.24210786819458 	 train acc: tensor([50.7937], device='cuda:3') 	 val acc: tensor([41.3229], device='cuda:3')
DEBUG:root:Epoch: 55 	 Loss: 1.18926203250885 	 train acc: tensor([50.0000], device='cuda:3') 	 val acc: tensor([34.4950], device='cuda:3')
DEBUG:root:Epoch: 56 	 Loss: 1.1993671655654907 	 train acc: tensor([48.4127], device='cuda:3') 	 val acc: tensor([30.6543], device='cuda:3')
DEBUG:root:Epoch: 57 	 Loss: 1.2006661891937256 	 train acc: tensor([47.6190], device='cuda:3') 	 val acc: tensor([30.1920], device='cuda:3')
DEBUG:root:Epoch: 58 	 Loss: 1.2397416830062866 	 train acc: tensor([48.4127], device='cuda:3') 	 val acc: tensor([38.7980], device='cuda:3')
DEBUG:root:Epoch: 59 	 Loss: 1.234109878540039 	 train acc: tensor([54.7619], device='cuda:3') 	 val acc: tensor([36.2731], device='cuda:3')
DEBUG:root:Epoch: 60 	 Loss: 1.2124580144882202 	 train acc: tensor([53.1746], device='cuda:3') 	 val acc: tensor([38.2646], device='cuda:3')
DEBUG:root:Epoch: 61 	 Loss: 1.29478120803833 	 train acc: tensor([48.4127], device='cuda:3') 	 val acc: tensor([37.4111], device='cuda:3')
DEBUG:root:Epoch: 62 	 Loss: 1.229500412940979 	 train acc: tensor([40.4762], device='cuda:3') 	 val acc: tensor([36.3442], device='cuda:3')
DEBUG:root:Epoch: 63 	 Loss: 1.2654848098754883 	 train acc: tensor([41.2698], device='cuda:3') 	 val acc: tensor([27.5960], device='cuda:3')
DEBUG:root:Epoch: 64 	 Loss: 1.2132638692855835 	 train acc: tensor([42.0635], device='cuda:3') 	 val acc: tensor([34.0327], device='cuda:3')
