INFO:root:Start LIMU training for 3200 epochs.
INFO:root:Training with gpu: True.
DEBUG:root:Epoch: 0 	 Loss: 0.1008516475558281 	 loss eva: 0.11256638169288635 	
DEBUG:root:Epoch: 1 	 Loss: 0.08895853906869888 	 loss eva: 0.10960599035024643 	
DEBUG:root:Epoch: 2 	 Loss: 0.11283674836158752 	 loss eva: 0.10716434568166733 	
DEBUG:root:Epoch: 3 	 Loss: 0.09079454094171524 	 loss eva: 0.1066434234380722 	
DEBUG:root:Epoch: 4 	 Loss: 0.08589327335357666 	 loss eva: 0.10763909667730331 	
DEBUG:root:Epoch: 5 	 Loss: 0.07586062699556351 	 loss eva: 0.10844334214925766 	
DEBUG:root:Epoch: 6 	 Loss: 0.10081609338521957 	 loss eva: 0.10823921114206314 	
DEBUG:root:Epoch: 7 	 Loss: 0.10249576717615128 	 loss eva: 0.10808975994586945 	
DEBUG:root:Epoch: 8 	 Loss: 0.08384152501821518 	 loss eva: 0.1066904067993164 	
DEBUG:root:Epoch: 9 	 Loss: 0.09239864349365234 	 loss eva: 0.10611014068126678 	
DEBUG:root:Epoch: 10 	 Loss: 0.08038581907749176 	 loss eva: 0.10686345398426056 	
DEBUG:root:Epoch: 11 	 Loss: 0.08809714764356613 	 loss eva: 0.10629673302173615 	
DEBUG:root:Epoch: 12 	 Loss: 0.08395052701234818 	 loss eva: 0.10786554217338562 	
DEBUG:root:Epoch: 13 	 Loss: 0.09169125556945801 	 loss eva: 0.10788637399673462 	
DEBUG:root:Epoch: 14 	 Loss: 0.0875893384218216 	 loss eva: 0.10544640570878983 	
DEBUG:root:Epoch: 15 	 Loss: 0.10142320394515991 	 loss eva: 0.10953304916620255 	
DEBUG:root:Epoch: 16 	 Loss: 0.09243562817573547 	 loss eva: 0.10636228322982788 	
DEBUG:root:Epoch: 17 	 Loss: 0.07715285569429398 	 loss eva: 0.10618540644645691 	
DEBUG:root:Epoch: 18 	 Loss: 0.09135550260543823 	 loss eva: 0.10661467909812927 	
DEBUG:root:Epoch: 19 	 Loss: 0.06495089083909988 	 loss eva: 0.10554779320955276 	
DEBUG:root:Epoch: 20 	 Loss: 0.08502190560102463 	 loss eva: 0.10773675888776779 	
DEBUG:root:Epoch: 21 	 Loss: 0.08457954227924347 	 loss eva: 0.10791511833667755 	
