INFO:root:Start CPC fine-tuning head for 200 epochs.
INFO:root:Training with gpu: False.
DEBUG:root:Epoch: 55 Loss: 24.087024688720703 acc:  64.286/ 19.439 f1:  63.610/ 17.831
DEBUG:root:Epoch: 56 Loss: 24.03692054748535 acc:  65.714/ 19.840 f1:  64.702/ 18.313
DEBUG:root:Epoch: 57 Loss: 24.02579689025879 acc:  67.143/ 20.240 f1:  65.703/ 18.672
DEBUG:root:Epoch: 58 Loss: 23.949565887451172 acc:  70.000/ 20.441 f1:  68.301/ 19.023
DEBUG:root:Epoch: 59 Loss: 23.92093276977539 acc:  70.000/ 20.441 f1:  68.301/ 19.065
DEBUG:root:Epoch: 60 Loss: 23.88935089111328 acc:  70.000/ 20.441 f1:  68.301/ 19.193
DEBUG:root:Epoch: 61 Loss: 23.846445083618164 acc:  74.286/ 20.641 f1:  74.724/ 19.620
DEBUG:root:Epoch: 62 Loss: 23.850940704345703 acc:  75.714/ 20.842 f1:  75.885/ 20.073
DEBUG:root:Epoch: 63 Loss: 23.825761795043945 acc:  77.143/ 21.643 f1:  76.941/ 21.152
DEBUG:root:Epoch: 64 Loss: 23.773784637451172 acc:  78.571/ 21.443 f1:  78.031/ 21.052
DEBUG:root:Epoch: 65 Loss: 23.746906280517578 acc:  80.000/ 21.844 f1:  80.133/ 21.574
DEBUG:root:Epoch: 66 Loss: 23.742021560668945 acc:  80.000/ 22.244 f1:  80.133/ 22.055
DEBUG:root:Epoch: 67 Loss: 23.731334686279297 acc:  82.857/ 22.445 f1:  82.715/ 22.437
DEBUG:root:Epoch: 68 Loss: 23.68724250793457 acc:  84.286/ 23.046 f1:  84.592/ 23.152
DEBUG:root:Epoch: 69 Loss: 23.680875778198242 acc:  85.714/ 22.846 f1:  86.281/ 22.922
DEBUG:root:Epoch: 70 Loss: 23.647768020629883 acc:  88.571/ 23.046 f1:  88.954/ 23.130
DEBUG:root:Epoch: 71 Loss: 23.63636589050293 acc:  88.571/ 23.647 f1:  88.684/ 23.917
